City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity %,Temperature (F),Wind Speed (mph),Cloudiness %
2630299,Hofn,IS,05/09/20,64.25,-15.21,79,31.640000000000022,1.72,0
2013279,Vostok,RU,05/09/20,46.49,135.88,93,45.391999999999996,1.77,100
1528998,Yumen,CN,05/09/20,40.28,97.2,37,53.40200000000008,8.88,20
1651810,Airai,TL,05/09/20,-8.93,125.41,69,71.11400000000003,2.02,58
629055,Disna,BY,05/09/20,55.57,28.2,77,47.444000000000074,1.78,79
2121197,Sinegor'ye,RU,05/09/20,62.08,150.48,97,31.424000000000014,4.74,100
3671497,Puerto Colombia,CO,05/09/20,10.99,-74.95,79,84.2,4.6,38
286245,Sur,OM,05/09/20,22.57,59.53,46,87.458,1.52,0
1626542,Sorong,ID,05/09/20,-0.88,131.25,71,87.674,4.96,98
1788852,Xining,CN,05/09/20,36.62,101.77,34,56.912000000000056,0.68,96
3141667,Roald,NO,05/09/20,62.58,6.13,59,39.00200000000008,6.7,100
3451138,Rio Grande,BR,05/09/20,-32.03,-52.1,74,59.46800000000009,3.76,0
2068110,Kununurra,AU,05/09/20,-15.77,128.73,20,95.0,6.7,5
3424607,Tasiilaq,GL,05/09/20,65.61,-37.64,86,32.0,7.2,18
1798480,Pumiao,CN,05/09/20,22.75,108.48,70,89.6,2.0,40
3879200,Mulchén,CL,05/09/20,-37.72,-72.23,86,55.291999999999994,5.28,100
6165406,Thompson,CA,05/09/20,55.74,-97.86,63,28.4,6.7,75
1707108,Latung,PH,05/09/20,5.5,120.88,71,85.316,2.57,47
3355672,Lüderitz,NA,05/09/20,-26.65,15.16,82,55.4,0.5,0
3439781,Treinta y Tres,UY,05/09/20,-33.23,-54.38,83,51.58399999999999,3.31,0
2361373,Diapaga,BF,05/09/20,12.07,1.79,54,86.45,3.77,31
1526041,Atasū,KZ,05/09/20,48.68,71.64,58,67.892,4.17,98
3021993,Cusset,FR,05/09/20,46.13,3.46,76,57.2,1.0,52
1797551,Qinzhou,CN,05/09/20,21.95,108.62,56,93.092,6.78,26
3423146,Ilulissat,GL,05/09/20,69.22,-51.1,86,30.2,2.1,100
1215502,Banda Aceh,ID,05/09/20,5.56,95.32,77,83.01200000000006,1.62,100
4003739,Juchipila,MX,05/09/20,21.42,-103.12,25,78.54800000000003,2.03,0
3421765,Nanortalik,GL,05/09/20,60.14,-45.24,71,39.452000000000076,8.42,12
6089245,Norman Wells,CA,05/09/20,65.28,-126.83,45,48.2,7.7,5
902620,Mwinilunga,ZM,05/09/20,-11.74,24.43,78,56.26400000000003,2.75,1
3984997,San Quintín,MX,05/09/20,30.48,-115.95,82,64.59800000000003,2.95,0
934649,Cap Malheureux,MU,05/09/20,-19.98,57.61,79,73.00400000000005,0.89,20
1258876,Sardarpur,IN,05/09/20,22.68,74.95,22,95.97200000000004,3.73,4
2031405,Erdenet,MN,05/09/20,49.03,104.08,44,49.98200000000001,5.05,0
2012956,Yerbogachën,RU,05/09/20,61.28,108.01,55,48.128000000000064,11.56,76
3893726,Constitución,CL,05/09/20,-35.33,-72.42,86,55.36400000000003,1.84,25
1502073,Krasnosel'kup,RU,05/09/20,65.7,82.47,74,38.46200000000006,3.64,82
2618795,Klaksvík,FO,05/09/20,62.23,-6.59,85,32.0,3.6,100
2136825,Isangel,VU,05/09/20,-19.55,169.27,69,78.8,2.6,75
3421982,Maniitsoq,GL,05/09/20,65.42,-52.9,72,39.21800000000009,2.76,90
615460,Pitsunda,GE,05/09/20,43.16,40.34,81,48.2,4.0,50
5563839,Fortuna,US,05/09/20,40.6,-124.16,100,55.004000000000055,2.6,1
478050,Ust'-Kulom,RU,05/09/20,61.69,53.69,84,55.742,0.79,13
5746545,Portland,US,05/09/20,45.52,-122.68,24,80.6,4.6,75
2015306,Tiksi,RU,05/09/20,71.69,128.87,95,26.582000000000015,3.31,1
2126123,Chokurdakh,RU,05/09/20,70.63,147.92,97,29.84000000000002,4.32,53
965528,Phalaborwa,ZA,05/09/20,-23.94,31.14,93,60.8,1.5,33
1737185,Kapit,MY,05/09/20,2.02,112.93,49,95.57600000000009,0.78,100
287832,Ibrā’,OM,05/09/20,22.69,58.53,13,94.56800000000008,2.15,9
1529660,Aksu,CN,05/09/20,41.12,80.26,27,74.73200000000001,0.9,96
3471451,Arraial do Cabo,BR,05/09/20,-22.97,-42.03,72,70.23200000000001,5.28,0
3466165,Cidreira,BR,05/09/20,-30.18,-50.21,79,62.024000000000015,3.37,0
10722858,Forsytheganj,BY,05/09/20,52.63,29.73,86,48.88399999999999,2.77,100
3420768,Qasigiannguit,GL,05/09/20,68.82,-51.19,86,30.2,2.1,100
286621,Salalah,OM,05/09/20,17.02,54.09,78,82.4,3.1,40
2074865,Carnarvon,AU,05/09/20,-24.87,113.63,48,76.892,5.16,100
1529484,Kumul,CN,05/09/20,42.8,93.45,20,69.24199999999999,4.18,0
6063191,Mackenzie,CA,05/09/20,55.3,-123.17,28,55.4,5.7,1
4003938,Jiménez,MX,05/09/20,28.33,-105.4,33,73.4,3.6,75
8079926,Labuhan,ID,05/09/20,-6.88,112.21,63,85.69400000000007,2.27,51
3395981,Maceió,BR,05/09/20,-9.67,-35.74,94,73.4,1.5,20
2381334,Atar,MR,05/09/20,20.52,-13.05,15,81.23000000000005,4.86,75
1067565,Beloha,MG,05/09/20,-25.17,45.05,86,65.31800000000008,5.54,17
1610940,Det Udom,TH,05/09/20,14.91,105.08,63,98.99600000000005,2.6,100
4034551,Faanui,PF,05/09/20,-16.48,-151.75,81,81.80600000000003,7.88,42
1848976,Wajima,JP,05/09/20,37.4,136.9,73,73.4,7.2,75
3874579,Purranque,CL,05/09/20,-40.92,-73.17,87,51.8,2.1,14
3860443,Comodoro Rivadavia,AR,05/09/20,-45.87,-67.5,62,55.4,4.6,100
3855065,General Roca,AR,05/09/20,-39.03,-67.58,41,68.0,7.7,27
6101607,Petawawa,CA,05/09/20,45.9,-77.33,47,37.4,2.6,90
1052944,Angoche,MZ,05/09/20,-16.23,39.91,84,72.98600000000008,4.35,62
3175096,Laas,IT,05/09/20,46.62,10.7,93,50.0,3.6,75
3405304,Bom Jesus,BR,05/09/20,-9.07,-44.36,86,70.32200000000003,1.08,97
3992842,Petatlán,MX,05/09/20,17.52,-101.27,70,77.86400000000003,0.74,0
3377301,Mabaruma,GY,05/09/20,8.2,-59.78,95,72.95,1.13,6
368246,Raja,SS,05/09/20,8.46,25.68,62,77.16200000000006,1.58,91
